"country","year","GDP","gini","taxes","population"
Bosnia and Herzegovina,2018,20265727508.4724,,20.4407481319936,3323929.0
Bulgaria,2006,45869280338.7161,35.7,20.9586024856237,7601022.0
Bulgaria,2007,48876966228.4417,36.1,22.8855538162622,7545338.0
Bulgaria,2008,51851436378.6577,33.6,22.1684066273517,7492561.0
Bulgaria,2009,50101534229.7147,33.8,18.9826073990539,7444443.0
Bulgaria,2010,50381825504.2642,35.7,18.5344879993123,7395599.0
Bulgaria,2011,51568094264.4734,34.3,17.7491832428873,7348328.0
Bulgaria,2012,51751979375.9177,36.0,18.9711177865646,7305888.0
Bulgaria,2013,51920571507.3287,36.6,19.9966627966496,7265115.0
Bulgaria,2014,52899515523.1699,37.4,19.5930088555487,7223938.0
Bulgaria,2015,55010127749.7693,38.6,20.2900487798284,7177991.0
Bulgaria,2016,57111753665.4351,40.6,20.2613281385094,7127822.0
Bulgaria,2017,59112236490.8388,40.4,20.1008550738846,7075947.0
Bulgaria,2018,60940251461.1954,41.3,20.173382323872,7025037.0
Croatia,2006,61197075793.9092,,20.9011393134949,4311159.0
Croatia,2007,64298314188.4647,,20.7565052961668,4310217.0
Croatia,2008,65515772483.174,,20.5468511952854,4309705.0
Croatia,2009,60717700435.3099,32.6,19.6665408135383,4305181.0
Croatia,2010,59918313669.1671,32.4,19.7448967450168,4295427.0
Croatia,2011,59799454151.6423,32.3,19.1765141424098,4280622.0
Croatia,2012,58369186194.0968,32.5,19.7316344415716,4267558.0
Croatia,2013,58108222128.8461,32.0,20.2715099763155,4255689.0
Croatia,2014,57909810141.88,32.1,19.9423843681328,4238389.0
Croatia,2015,59318112197.5722,31.1,20.8456467880009,4203604.0
Croatia,2016,61393139836.7654,30.9,21.3473431088534,4174349.0
Croatia,2017,63504583355.145,30.4,21.4996965088432,4124531.0
Croatia,2018,65287544197.8689,29.7,21.8345403863804,4087843.0
Czech Republic,2006,197470142753.551,26.7,14.2222295228868,10238905
Czech Republic,2007,208469898850.69,26.0,14.6116900671662,10298828
Czech Republic,2008,214070259127.502,26.3,13.6730928105351,10384603
Czech Republic,2009,204100298391.036,26.2,13.5702219344919,10443936
Czech Republic,2010,209069940963.177,26.6,13.6507574751995,10474410
Czech Republic,2011,212750323790.759,26.4,14.5202634059379,10496088
Czech Republic,2012,211080224602.858,26.1,14.9287634461197,10510785
Czech Republic,2013,210983331025.624,26.5,15.0811610763803,10514272
Czech Republic,2014,215755991069.112,25.9,14.4296540586861,10525347
Czech Republic,2015,227381745549.048,25.9,14.7695604553833,10546059
Czech Republic,2016,233151067380.883,25.4,14.9127775532102,10566332
Czech Republic,2017,245202003265.939,24.9,15.0055285503497,10594438
Czech Republic,2018,253045172103.95,25.0,14.8364085391609,10629928
Denmark,2006,331090561927.791,25.9,31.8602911588695,5437272.0
Denmark,2007,334100966204.774,26.2,35.0930011659876,5461438.0
Denmark,2008,332390313313.103,25.2,33.4215407090296,5493621.0
Denmark,2009,316081423941.657,26.7,33.1838392200882,5523095.0
Denmark,2010,321995279401.502,27.2,32.7372366745839,5547683.0
Denmark,2011,326299640707.019,27.3,32.7534892718105,5570572.0
Denmark,2012,327038708713.874,27.8,33.4463982120414,5591572.0
Denmark,2013,330091094977.815,28.5,33.8197526581539,5614932.0
Denmark,2014,335436569740.648,28.4,36.5002916609685,5643475.0
Denmark,2015,343294476994.931,28.2,33.9216190603815,5683483.0
Denmark,2016,354437668050.905,28.2,33.2950594843919,5728010.0
Denmark,2017,364438964537.519,28.7,33.3998795843063,5764980.0
Denmark,2018,372367867708.325,28.2,32.1743661325984,5793636.0
Estonia,2006,1403205243.69945,33.7,19.9716500588989,1346810.0
Estonia,2007,1509478087.87613,31.2,20.2261844093782,1340680.0
Estonia,2008,1432661648.36718,31.9,19.2786083855032,1337090.0
Estonia,2009,1225873125.80184,31.4,21.3999468470274,1334515.0
Estonia,2010,1258853226.89866,32.0,19.6612561493778,1331475.0
Estonia,2011,1352344121.715,32.5,19.0701235780373,1327439.0
Estonia,2012,1394405238.91226,32.9,19.8039005277181,1322696.0
Estonia,2013,1413176509.34604,35.1,20.0373112685327,1317997.0
Estonia,2014,1455392682.02426,34.6,20.6119031773554,1314545.0
Estonia,2015,1482243027.71369,32.7,21.5133949870117,1315407.0
Estonia,2016,1529494224.16303,31.2,21.5924245541388,1315790.0
Estonia,2017,1613603477.8319,30.4,20.9206250313315,1317384.0
Estonia,2018,1683883408.75594,30.3,20.9548187431581,1321977.0
Faroe Islands,2006,,,,47793.0
Faroe Islands,2007,,,,47825.0
Faroe Islands,2008,,,,47822.0
Faroe Islands,2009,,,,47814.0
Faroe Islands,2010,2320424601.26954,,,47803.0
Faroe Islands,2011,,,,47815.0
Faroe Islands,2012,,,,47843.0
Faroe Islands,2013,,,,47901.0
Faroe Islands,2014,,,,47965.0
Faroe Islands,2015,,,,48055.0
Faroe Islands,2016,,,,48173.0
Faroe Islands,2017,,,,48326.0
Faroe Islands,2018,,,,48497.0
Finland,2006,247779130164.083,28.0,21.4202675581416,5266268.0
Finland,2007,260909780066.563,28.3,21.0651513855628,5288720.0
Finland,2008,262955299855.628,27.8,20.4910817697475,5313399.0
Finland,2009,241723112398.309,27.5,18.8828426328908,5338871.0
Finland,2010,249424310816.667,27.7,18.6012766884763,5363352.0
Finland,2011,255778806281.83,27.6,20.0178789684744,5388272.0
Finland,2012,252204180501.055,27.1,20.1355969299184,5413971.0
Finland,2013,249930064696.187,27.2,20.6434972420848,5438972.0
Finland,2014,249018049503.61,26.8,20.6315219650357,5461512.0
Finland,2015,250371859068.695,27.1,20.4707051115264,5479531.0
Finland,2016,257410958145.949,27.1,20.8134499213858,5495303.0
Finland,2017,265628570361.662,27.4,20.7338898193115,5508214.0
Finland,2018,269113179058.496,27.3,20.8035225249897,5515525.0
France,2006,2601491774613.78,29.7,22.5778088478701,63621376
France,2007,2664571088541.21,32.4,22.1220175547039,64016227
France,2008,2671364304886.08,33.0,22.0052399642638,64374979
France,2009,2594607624904.28,32.7,20.7014276846679,64707035
France,2010,2645187882116.67,33.7,21.9526594894273,65027505
France,2011,2703188933543.06,33.3,21.8164964590897,65342789
France,2012,2711653557481.26,33.1,22.5307400790117,65659814
France,2013,2727281540260.42,32.5,23.2109178727076,65998685
France,2014,2753359344138.85,32.3,23.1614153174882,66312067
France,2015,2784001820060.14,32.7,23.197715462657,66548272
France,2016,2814499568997.83,31.9,23.0648275010082,66724104
France,2017,2878991574857.68,31.6,23.6293346543377,66918020
France,2018,2930607976267.93,32.4,24.1956261037571,67101930
Germany,2006,3328325430555.39,31.3,10.8516276183608,82376451
Germany,2007,3427391543620.05,31.3,11.3340401272229,82266372
Germany,2008,3460290359872.83,31.1,11.4723010889499,82110097
Germany,2009,3263267090017.34,30.5,11.6149370535587,81902307
Germany,2010,3399667820000.01,30.2,11.1902979254406,81776930
Germany,2011,3533111333252.44,30.5,11.4813852299559,80274983
Germany,2012,3547897319183.13,30.9,11.6229861108582,80425823
Germany,2013,3563422609296.38,31.1,11.611503370267,80645605
Germany,2014,3642157979491.28,30.9,11.4825632039024,80982500
Germany,2015,3696496482672.59,31.7,11.4787289586211,81686611
Germany,2016,3778928349350.17,31.9,11.2961202523973,82348669
Germany,2017,3877255158232.27,,11.4429760787273,82657002
Germany,2018,3926418568780.85,,11.4876311296892,82905782
Gibraltar,2006,,,,33420.0
Gibraltar,2007,,,,33524.0
Gibraltar,2008,,,,33570.0
Gibraltar,2009,,,,33562.0
Gibraltar,2010,,,,33585.0
Gibraltar,2011,,,,33608.0
Gibraltar,2012,,,,33653.0
Gibraltar,2013,,,,33694.0
Gibraltar,2014,,,,33726.0
Gibraltar,2015,,,,33742.0
Gibraltar,2016,,,,33738.0
Gibraltar,2017,,,,33723.0
Gibraltar,2018,,,,33715.0
Greece,2006,319132136925.793,35.1,19.9792007372315,11020362
Greece,2007,329579715229.25,34.0,20.2428425141791,11048473
Greece,2008,328475055055.053,33.6,20.2136126149472,11077841
Greece,2009,314348217058.93,33.6,19.7756801998951,11107017
Greece,2010,297124961971.501,34.1,20.3860335725714,11121341
Greece,2011,266968814916.016,34.8,22.4776944333849,11104899
Greece,2012,248061138528.468,36.3,24.2673774197927,11045011
Greece,2013,241259867501.329,36.1,24.1592572626798,10965211
Greece,2014,242944211867.598,35.8,24.8537593253472,10892413
Greece,2015,241943520921.99,36.0,24.9179178811996,10820883
Greece,2016,240758353595.684,35.0,26.7090339581115,10775971
Greece,2017,243842046377.8,34.4,26.4213970437592,10754679
Greece,2018,247643489387.938,32.9,26.9202299388132,10732882
Hungary,2006,138021450771.415,28.3,19.8334170837429,10071370
Hungary,2007,138355712640.943,27.9,21.4158475371487,10055780
Hungary,2008,139819916274.643,27.5,23.2870558924422,10038188
Hungary,2009,130452605289.135,27.0,23.3493021310846,10022650
Hungary,2010,131916516051.985,29.4,22.6319452216394,10000023
Hungary,2011,134471881165.37,29.2,21.0686026676279,9971727.0
Hungary,2012,132615331004.73,30.8,22.928098776053,9920362.0
Hungary,2013,135082972930.623,31.5,22.9140250609754,9893082.0
Hungary,2014,140795565306.983,30.9,23.062381494597,9866468.0
Hungary,2015,146173151085.081,30.4,23.2536829606787,9843028.0
Hungary,2016,149301250250.029,30.3,23.0924665886757,9814023.0
Hungary,2017,155746258233.436,30.6,22.9053998082757,9787966.0
Hungary,2018,164156103282.558,29.6,22.5534380308276,9775564.0
Iceland,2006,13826344571.668,30.2,26.7598681109224,303782.0
Iceland,2007,14995342661.6113,29.5,25.7687500574191,311566.0
Iceland,2008,15326664220.7095,31.8,22.6531395403483,317414.0
Iceland,2009,14152057862.8939,28.7,19.7615489724813,318499.0
Iceland,2010,13751161917.7398,26.2,19.9944443999562,318041.0
Iceland,2011,14004977998.1585,26.8,20.5098142662381,319014.0
Iceland,2012,14153940071.0105,26.8,21.4019409430538,320716.0
Iceland,2013,14798292576.4812,25.4,21.8460997345767,323764.0
Iceland,2014,15047971591.1662,27.8,24.4924220177867,327386.0
Iceland,2015,15715599487.2528,26.8,22.6886427980901,330815.0
Iceland,2016,16706261705.8402,27.2,37.6146250015414,335439.0
Iceland,2017,17407080835.653,26.1,23.92163932587,343400.0
Iceland,2018,18227792282.9059,,23.0098456108336,352721.0
Ireland,2006,228618540241.807,32.7,26.8191176357897,4273591.0
Ireland,2007,240778055809.957,31.9,25.9292550772921,4398942.0
Ireland,2008,230091285255.947,30.9,23.7682335791322,4489544.0
Ireland,2009,218414850981.939,32.7,22.027804733643,4535375.0
Ireland,2010,222287851794.584,32.3,21.803212160999,4560155.0
Ireland,2011,223624003883.013,32.9,21.9540172209012,4580084.0
Ireland,2012,223909812167.535,33.2,22.5345558660461,4599533.0
Ireland,2013,226656857706.201,33.5,22.8890461339586,4623816.0
Ireland,2014,246241019995.408,31.9,23.1130434869945,4657740.0
Ireland,2015,308235649867.516,31.8,18.7789629917829,4701957.0
Ireland,2016,314381129555.559,32.8,19.0021137111404,4755335.0
Ireland,2017,343082365981.679,31.4,18.0882913042429,4807388.0
Ireland,2018,372300617924.262,,18.0779956890641,4867316.0
Italy,2006,2205941135644.34,33.7,23.3278211677977,58143979
Italy,2007,2238745090235.33,32.9,23.7633479184746,58438310
Italy,2008,2217208074999.43,33.8,23.4899640312502,58826731
Italy,2009,2100118708781.5,33.8,23.7429449463464,59095365
Italy,2010,2136099955236.67,34.7,23.680622988167,59277417
Italy,2011,2151209302546.05,35.1,23.6475892912704,59379449
Italy,2012,2087083780359.59,35.2,24.9468297858102,59539717
Italy,2013,2048659201948.41,34.9,25.1389039339171,60233948
Italy,2014,2048566038303.31,34.7,24.8410721949095,60789140
Italy,2015,2064510116906.73,35.4,24.739527170909,60730582
Italy,2016,2091213785858.19,35.2,25.0703095459877,60627498
Italy,2017,2126092284053.69,35.9,24.683679444024,60536709
Italy,2018,2146114485858.04,,24.2343793138037,60421760
Latvia,2006,38970904830.6932,35.6,22.1771321862165,2218357.0
Latvia,2007,42878556292.9244,37.5,21.6438653146896,2200325.0
Latvia,2008,41451858072.2391,37.2,20.7392143156468,2177322.0
Latvia,2009,35540939762.4485,36.0,18.7374571575301,2141669.0
Latvia,2010,33974713228.7101,35.0,19.7289754606118,2097555.0
Latvia,2011,36172486448.4331,35.8,19.9454822102441,2059709.0
Latvia,2012,37710440391.8362,35.2,20.9605241006518,2034319.0
Latvia,2013,38581617963.9437,35.5,21.5830694937467,2012647.0
Latvia,2014,38995843365.7812,35.1,22.0543769773761,1993782.0
Latvia,2015,40558357687.4366,34.2,22.3801218726788,1977527.0
Latvia,2016,41520776742.7396,34.3,23.4982534998132,1959537.0
Latvia,2017,42870501056.9186,35.6,23.4879989188129,1942248.0
Latvia,2018,44595743365.806,35.1,22.8205580750928,1927174.0
Liechtenstein,2006,,,,34975.0
Liechtenstein,2007,,,,35217.0
Liechtenstein,2008,,,,35469.0
Liechtenstein,2009,,,,35723.0
Liechtenstein,2010,5082366478.08994,,,35996.0
Liechtenstein,2011,,,,36299.0
Liechtenstein,2012,,,,36615.0
Liechtenstein,2013,,,,36940.0
Liechtenstein,2014,,,,37219.0
Liechtenstein,2015,,,,37465.0
Liechtenstein,2016,,,,37655.0
Liechtenstein,2017,,,,37805.0
Liechtenstein,2018,,,,37918.0
Lithuania,2006,10897964391.0828,34.4,20.4842031803465,3269909.0
Lithuania,2007,12108453621.6011,34.8,20.3693543521904,3231294.0
Lithuania,2008,12425019822.0591,35.7,20.4820339162195,3198231.0
Lithuania,2009,10581319790.3218,37.2,17.0401288023968,3162916.0
Lithuania,2010,10756042844.3535,33.6,15.9649734661685,3097282.0
Lithuania,2011,11405601149.4605,32.5,15.4823769505595,3028115.0
Lithuania,2012,11844017031.4634,35.1,15.5299601501495,2987773.0
Lithuania,2013,12264488263.5827,35.3,15.6012146391986,2957689.0
Lithuania,2014,12698284425.0764,37.7,15.8363378502208,2932367.0
Lithuania,2015,12955371854.0676,37.4,16.6948626853888,2904910.0
Lithuania,2016,13281695423.2095,38.4,16.9315977516197,2868231.0
Lithuania,2017,13850496906.4725,37.3,16.6338953480244,2828403.0
Lithuania,2018,14395769626.2351,35.7,16.7720899238486,2801543.0
Luxembourg,2006,49648546045.1779,30.9,24.1894473407458,472637.0
Luxembourg,2007,53796460668.8657,31.1,24.6781108549531,479993.0
Luxembourg,2008,53108088559.7831,32.6,24.7124040624538,488650.0
Luxembourg,2009,50793315934.8984,31.2,25.1713080493763,497783.0
Luxembourg,2010,53264394998.6001,30.5,25.1303306412007,506953.0
Luxembourg,2011,54616903567.9042,32.1,24.6258732204128,518347.0
Luxembourg,2012,54424368010.6887,34.3,25.7635689259374,530946.0
Luxembourg,2013,56413236518.3812,32.0,25.9165828665906,543360.0
Luxembourg,2014,58837192739.3142,31.2,25.7201807480038,556319.0
Luxembourg,2015,61370976137.0688,32.9,24.1496914827481,569604.0
Luxembourg,2016,64178453456.4681,31.7,24.3329620795712,582014.0
Luxembourg,2017,65334423537.5936,34.5,25.0104538105792,596336.0
Luxembourg,2018,67366870478.9246,35.4,26.7857393230875,607950.0
Malta,2006,7960297513.94763,28.0,60.0276661628348,405308.0
Malta,2007,8340378285.12884,29.2,62.50279444785,406724.0
Malta,2008,8659511134.94235,29.0,25.8058758972557,409379.0
Malta,2009,8561323235.70686,30.2,26.0145108231299,412477.0
Malta,2010,9035932122.49768,29.0,25.3101189711511,414508.0
Malta,2011,9078134520.83534,29.1,25.8081278253627,416268.0
Malta,2012,9451945528.64474,29.4,25.6916732523498,420028.0
Malta,2013,9969284127.5679,28.8,25.7381548741012,425967.0
Malta,2014,10730293230.9693,29.0,25.9932863312529,434558.0
Malta,2015,11761274055.5891,29.4,24.3383575630218,445053.0
Malta,2016,12242418065.7844,29.1,25.1145813638203,455356.0
Malta,2017,13236432054.2372,29.2,25.5525588216747,467999.0
Malta,2018,13921976625.3068,28.7,25.7674973462746,484630.0
Moldova,2006,6239767852.66749,35.4,19.5712115118202,2880095.0
Moldova,2007,6426960903.2039,34.4,20.5665356541269,2873429.0
Moldova,2008,6928263862.95101,34.7,20.4459489526716,2867964.0
Moldova,2009,6512568011.12431,32.9,17.6853133213094,2864346.0
Moldova,2010,6974960345.3712,32.1,15.160640793259,2861487.0
Moldova,2011,7380775144.91523,30.6,15.2403271612774,2859833.0
Moldova,2012,7337248195.12826,29.2,15.5953463259033,2859458.0
Moldova,2013,8000819052.00779,28.5,15.4696359631486,2858692.0
Moldova,2014,8400830055.05566,26.8,16.637494863151,2856950.0
Moldova,2015,8372415480.26162,27.0,16.4012368212384,2834530.0
Moldova,2016,8741545794.83075,26.3,16.2457922654319,2802170.0
Moldova,2017,9151593647.17486,25.9,17.4426122320836,2755158.0
Moldova,2018,9545247410.92867,25.7,17.6916295246373,2708214.0
Monaco,2006,5145300278.40382,,,34189.0
Monaco,2007,5887710460.02917,,,34524.0
Monaco,2008,5926971761.89845,,,34860.0
Monaco,2009,5257223916.21371,,,35223.0
Monaco,2010,5367625613.15127,,,35609.0
Monaco,2011,5743359406.07185,,,36025.0
Monaco,2012,5800793053.16187,,,36459.0
Monaco,2013,6357669097.17619,,,36899.0
Monaco,2014,6815421317.77807,,,37320.0
Monaco,2015,7149376905.74042,,,37723.0
Monaco,2016,7399605196.87127,,,38070.0
Monaco,2017,7148018560.25454,,,38392.0
Monaco,2018,7584047726.36882,,,38682.0
Montenegro,2006,3737915560.04535,,,615025.0
Montenegro,2007,3992473234.91718,,,615875.0
Montenegro,2008,4280841227.25932,,,616969.0
Montenegro,2009,4032762450.51021,,,618294.0
Montenegro,2010,4143033275.88493,,,619428.0
Montenegro,2011,4276787738.05463,,,620079.0
Montenegro,2012,4160296612.28314,41.2,,620601.0
Montenegro,2013,4307944887.65039,39.0,,621207.0
Montenegro,2014,4384784936.38777,38.8,,621810.0
Montenegro,2015,4533444861.21991,39.0,,622159.0
Montenegro,2016,4667151600.8246,38.5,,622303.0
Montenegro,2017,4887274946.92473,,,622373.0
Montenegro,2018,5135444172.57865,,,622227.0
Netherlands,2006,818656877650.488,30.0,21.6000109486679,16346101
Netherlands,2007,849543512429.438,29.6,21.595200025841,16381696
Netherlands,2008,867981366402.608,29.3,21.1439157722984,16445593
Netherlands,2009,836153497098.728,27.9,20.9443347278192,16530388
Netherlands,2010,847380859016.668,27.8,20.9861902698271,16615394
Netherlands,2011,860525340337.452,27.8,20.2294425079072,16693074
Netherlands,2012,851658883145.551,27.6,19.4077486423489,16754962
Netherlands,2013,850550233737.807,28.1,19.6920947880502,16804432
Netherlands,2014,862656926597.85,28.6,20.6364286139734,16865008
Netherlands,2015,879557839900.357,28.2,21.1606242246467,16939923
Netherlands,2016,898835229746.291,28.2,21.9051101382534,17030314
Netherlands,2017,924999447038.053,28.5,23.0855413427696,17131296
Netherlands,2018,946837898609.854,28.1,23.0563304034822,17231624
North Macedonia,2006,8138242511.94872,,18.0826616858798,2063132.0
North Macedonia,2007,8665070571.39311,,19.0748302217282,2065408.0
North Macedonia,2008,9139223353.51773,,18.5239461061968,2067309.0
North Macedonia,2009,9106448740.75946,42.8,17.1295782664692,2069030.0
North Macedonia,2010,9412311665.9492,40.2,16.8656928030442,2070737.0
North Macedonia,2011,9632549033.15179,39.4,16.999651001969,2072484.0
North Macedonia,2012,9588606960.45675,38.1,16.4166504179317,2074275.0
North Macedonia,2013,9869098420.48675,36.2,15.6689580043276,2076065.0
North Macedonia,2014,10227260191.7624,35.2,16.2352837081218,2077780.0
North Macedonia,2015,10621609552.3164,35.6,16.8182331222247,2079335.0
North Macedonia,2016,10924134787.2329,34.5,16.9511578216024,2080746.0
North Macedonia,2017,11042309099.238,34.2,17.1611135905492,2081996.0
North Macedonia,2018,11360393491.8192,33.0,17.5749310468024,2082957.0
Norway,2006,418661275147.645,26.4,28.9094475203683,4660677.0
Norway,2007,431197048129.248,27.1,28.1997112552991,4709153.0
Norway,2008,433251184624.934,27.0,27.9246209375204,4768212.0
Norway,2009,425768848675.368,26.2,25.9668904142137,4828726.0
Norway,2010,428757038466.841,25.7,26.8869244165205,4889252.0
Norway,2011,432965007871.716,25.3,27.7220866099017,4953088.0
Norway,2012,444668526003.851,25.7,27.0450629594005,5018573.0
Norway,2013,449266722786.278,26.4,25.1657645290607,5079623.0
Norway,2014,458115229920.278,26.8,23.5682851642918,5137232.0
Norway,2015,467126944887.83,27.5,22.2235507693574,5188607.0
Norway,2016,472132485600.729,28.5,22.0871630406294,5234519.0
Norway,2017,483101343264.083,27.0,22.4775458505266,5276968.0
Norway,2018,488506420357,27.6,23.4227187033963,5311916.0
Poland,2006,403192683978.377,34.7,17.1551039758526,38141267
Poland,2007,431664312008.755,34.0,18.0865307854768,38120560
Poland,2008,449794050343.249,33.5,18.2673691301375,38125759
Poland,2009,462533048121.248,33.4,16.0518940981396,38151603
Poland,2010,479834179020.33,33.2,16.4776575774582,38042794
Poland,2011,502662952276.722,33.2,16.6556673658091,38063255
Poland,2012,509322687626.439,33.0,15.9934263127355,38063164
Poland,2013,515056478625.676,33.1,15.589011880558,38040196
Poland,2014,532458063874.241,32.8,15.6175273660565,38011735
Poland,2015,555014724902.995,31.8,15.6868645592279,37986412
Poland,2016,572451795841.21,31.2,16.2305398427786,37970087
Poland,2017,600104964680.131,29.7,16.7944578319308,37974826
Poland,2018,632232812655.457,30.2,17.3956838262501,37974750
Portugal,2006,234931199934.205,38.1,21.125162349927,10522288
Portugal,2007,240819937572.726,36.8,21.347297115583,10542964
Portugal,2008,241588750226.565,36.6,21.0468267379946,10558177
Portugal,2009,234046157573.901,34.9,19.0577021012005,10568247
Portugal,2010,238113003233.284,35.8,19.6428094106757,10573100
Portugal,2011,234074214334.376,36.3,21.1333391229728,10557560
Portugal,2012,224577136198.924,36.0,20.7701624039787,10514844
Portugal,2013,222505087211.577,36.2,22.6620920858294,10457295
Portugal,2014,224267750933.647,35.6,22.647399066455,10401062
Portugal,2015,228286732295.719,35.5,22.7887191054273,10358076
Portugal,2016,232896949514.553,35.2,22.3319932476097,10325452
Portugal,2017,241063120722.329,33.8,22.3705879762207,10300300
Portugal,2018,247931796009.536,33.5,22.6533467082473,10283822
Romania,2006,156266346693.626,39.6,17.9470572343657,21193760
Romania,2007,167570353781.434,37.5,17.5395257265186,20882982
Romania,2008,183166909447.59,36.4,16.785344992707,20537875
Romania,2009,173060868628.322,35.6,15.27296200525,20367487
Romania,2010,166309355234.589,35.5,16.606621010398,20246871
Romania,2011,169479324149.248,35.9,18.0889295011415,20147528
Romania,2012,172937829621.072,36.5,18.0112811932293,20058035
Romania,2013,179459249986.084,36.9,17.668864468403,19983693
Romania,2014,185935438388.184,36.0,17.9175154870682,19908979
Romania,2015,191427365158.106,35.9,18.9351507781876,19815616
Romania,2016,200430189829.58,34.4,16.8520236625952,19702267
Romania,2017,215100574411.243,36.0,15.4729764935295,19588715
Romania,2018,224725300753.379,35.8,14.4941335685545,19473970
Russian Federation,2006,1386608432989.65,41.0,16.5682157585873,143049637
